trip_id,vehicle_id,request_time,dispatch_time,wait_time_sec,deadhead_km,trip_km,energy_kWh,soc_after,origin,destination,n_passengers,hour,status
7,0,25219.87962164497,25159.87962164497,0.0,0.1435,0.5209,0.2525,0.9479,Arthur S. Keating Sports Center,McCormick Student Village,5,7,served
136,3,25222.9891381806,25159.87962164497,0.0,0.0,0.3783,0.1438,0.9488,Grover M. Herman Hall,S.R. Crown Hall,7,7,served
266,6,25227.59051753721,25159.87962164497,0.0,0.0,0.29,0.1102,0.9491,Paul Galvin Library,Grover M. Herman Hall,2,7,served
361,2,25232.594981689337,25159.87962164497,0.0,0.0,0.2688,0.1021,0.9491,S.R. Crown Hall,Main Building,5,7,served
272,1,25236.472262499876,25159.87962164497,0.0,0.2697,0.6236,0.3394,0.9471,Paul Galvin Library,Pritzker Science Center,7,7,served
45,9,25239.015545329075,25159.87962164497,0.0,0.0619,0.4828,0.207,0.9482,Cunningham Hall,Kaplan Institute,7,7,served
207,5,25243.590510845595,25159.87962164497,0.0,0.0,0.4873,0.1852,0.9484,McCormick Student Village,Pritzker Science Center,4,7,served
202,7,25243.634788718016,25159.87962164497,0.0,0.1359,0.3166,0.1719,0.9485,McCormick Student Village,Perlstein Hall,7,7,served
348,8,25243.764377318592,25159.87962164497,0.0,0.2087,0.1403,0.1326,0.9489,Rowe Village Middle,S.R. Crown Hall,5,7,served
247,4,25245.387071912737,25159.87962164497,0.0,0.2428,0.1371,0.1444,0.9488,McCormick Tribune Campus Center,Perlstein Hall,5,7,served
316,2,25263.188508119863,25209.87962164497,0.0,0.433,0.3552,0.2995,0.9466,Pritzker Science Center,Perlstein Hall,5,7,served
139,9,25279.64478550439,25259.87962164497,0.0,0.0,0.4828,0.1835,0.9467,Kaplan Institute,Cunningham Hall,7,7,served
229,4,25287.09035000888,25259.87962164497,0.0,0.2435,0.1611,0.1538,0.9475,McCormick Student Village,The Commons,6,7,served
123,6,25287.842813603536,25259.87962164497,0.0,0.0,0.1708,0.0649,0.9485,Grover M. Herman Hall,Kaplan Institute,5,7,served
34,3,25291.26267629565,25259.87962164497,0.0,0.1753,0.6773,0.324,0.946,Chemistry Research Building,The Commons,4,7,served
40,5,25295.44071794984,25259.87962164497,0.0,0.2829,0.9736,0.4775,0.9444,Cunningham Hall,Chemistry Research Building,9,7,served
153,8,25310.349007940906,25259.87962164497,0.0,0.2068,0.4122,0.2352,0.9469,Main Building,McCormick Tribune Campus Center,7,7,served
148,7,25319.53119164892,25259.87962164497,0.0,0.181,0.3206,0.1906,0.9469,Kaplan Institute,The Commons,2,7,served
160,6,25332.017136960756,25309.87962164497,0.0,0.2958,0.4752,0.293,0.946,Main Building,The Commons,6,7,served
69,0,25347.127018559324,25309.87962164497,0.0,0.2468,0.4727,0.2734,0.9455,Cunningham Hall,Perlstein Hall,3,7,served
214,4,25355.42544886924,25359.87962164497,4.454172775731422,0.1239,0.4715,0.2263,0.9456,McCormick Student Village,S.R. Crown Hall,7,7,served
308,1,25373.469644615867,25359.87962164497,0.0,0.0,0.2478,0.0942,0.9463,Pritzker Science Center,Arthur S. Keating Sports Center,6,7,served
165,7,25373.563339898003,25359.87962164497,0.0,0.1239,0.6967,0.3118,0.9443,McCormick Student Village,Chemistry Research Building,10,7,served
349,2,25386.608876831026,25359.87962164497,0.0,0.2126,0.1403,0.1341,0.9455,Rowe Village Middle,S.R. Crown Hall,4,7,served
240,9,25387.043679195365,25359.87962164497,0.0,0.2839,0.3157,0.2279,0.9448,McCormick Tribune Campus Center,Kaplan Institute,3,7,served
301,8,25395.595325362458,25409.87962164497,14.284296282512514,0.1055,0.1915,0.1129,0.9459,Perlstein Hall,The Commons,2,7,served
368,1,25402.23387845078,25409.87962164497,7.645743194188981,0.6587,0.3299,0.3757,0.9431,S.R. Crown Hall,Perlstein Hall,6,7,served
232,3,25405.396996144515,25459.87962164497,54.48262550045547,0.055,0.4875,0.2061,0.9443,McCormick Tribune Campus Center,Arthur S. Keating Sports Center,5,7,served
375,6,25407.835773210423,25459.87962164497,52.04384843454682,0.0,0.3206,0.1218,0.945,The Commons,Kaplan Institute,6,7,served
242,0,25434.73652853777,25459.87962164497,25.143093107199093,0.1055,0.4122,0.1967,0.9439,McCormick Tribune Campus Center,Main Building,6,7,served
318,2,25436.501492235715,25459.87962164497,23.378129409255052,0.5261,0.6236,0.4369,0.9418,Pritzker Science Center,Rowe Village Middle,5,7,served
101,8,25436.55110194207,25509.87962164497,73.32851970289994,0.2374,0.1767,0.1573,0.9446,Farr Hall,McCormick Student Village,6,7,served
84,4,25439.3865625204,25509.87962164497,70.49305912456839,0.315,0.6975,0.3848,0.9423,Farr Hall,Arthur S. Keating Sports Center,5,7,served
41,9,25454.047490641547,25509.87962164497,55.832131003422546,0.3714,0.9736,0.5111,0.9404,Cunningham Hall,Chemistry Research Building,2,7,served
208,5,25456.524219954932,25509.87962164497,53.35540169003798,0.5359,0.4873,0.3888,0.9411,McCormick Student Village,Pritzker Science Center,4,7,served
154,7,25459.914272325033,25509.87962164497,49.96534931993665,0.2775,0.4122,0.2621,0.9421,Main Building,McCormick Tribune Campus Center,5,7,served
323,6,25474.461184704833,25559.87962164497,85.41843694013733,0.1412,0.3378,0.182,0.9435,Pritzker Science Center,The Commons,3,7,served
297,0,25476.703470994187,25559.87962164497,83.1761506507828,0.22,0.3552,0.2186,0.942,Perlstein Hall,Pritzker Science Center,3,7,served
35,3,25482.442972832156,25559.87962164497,77.43664881281438,0.8246,0.6773,0.5707,0.9395,Chemistry Research Building,The Commons,8,7,served
78,8,25488.841484381912,25609.87962164497,121.03813726305816,0.2468,0.7464,0.3774,0.9414,Cunningham Hall,S.R. Crown Hall,7,7,served
364,1,25492.13704273046,25609.87962164497,117.74257891450907,0.2537,0.3806,0.2411,0.9411,S.R. Crown Hall,McCormick Tribune Campus Center,9,7,served
140,7,25496.571764217035,25659.87962164497,163.30785742793523,0.2428,0.3846,0.2384,0.94,Kaplan Institute,Main Building,6,7,served
373,6,25500.79561503848,25659.87962164497,159.0840066064884,0.0,0.3115,0.1184,0.9425,The Commons,Grover M. Herman Hall,1,7,served
70,4,25519.3291215254,25709.87962164497,190.55050011957064,0.1911,0.4727,0.2523,0.9402,Cunningham Hall,Perlstein Hall,5,7,served
46,0,25528.63203643008,25709.87962164497,181.2475852148891,0.2829,0.4828,0.291,0.9396,Cunningham Hall,Kaplan Institute,3,7,served
25,2,25537.22916418113,25709.87962164497,172.6504574638384,0.2772,0.6061,0.3357,0.9389,Chemistry Research Building,McCormick Tribune Campus Center,7,7,served
186,5,25548.03521872819,25709.87962164497,161.84440291678038,0.3748,0.5744,0.3607,0.938,McCormick Student Village,Main Building,8,7,served
29,9,25549.835377574767,25759.87962164497,210.0442440702027,0.0,0.5379,0.2044,0.9387,Chemistry Research Building,Perlstein Hall,7,7,served
3,1,25551.619610422986,25759.87962164497,208.2600112219843,0.375,1.072,0.5499,0.9364,Arthur S. Keating Sports Center,Chemistry Research Building,2,7,served
23,6,25565.297554317716,25759.87962164497,194.58206732725375,0.422,0.7193,0.4337,0.9388,Chemistry Research Building,Kaplan Institute,1,7,served
309,7,25579.313720103084,25809.87962164497,230.56590154188598,0.433,0.2478,0.2587,0.9379,Pritzker Science Center,Arthur S. Keating Sports Center,3,7,served
196,8,25580.392863342277,25809.87962164497,229.4867583026935,0.3627,0.1814,0.2067,0.9396,McCormick Student Village,McCormick Tribune Campus Center,4,7,served
166,3,25583.734909108767,25859.87962164497,276.14471253620286,0.1239,0.6967,0.3118,0.9368,McCormick Student Village,Chemistry Research Building,5,7,served
10,0,25588.409137175895,25859.87962164497,271.470484469075,0.3272,0.5346,0.3275,0.9368,Arthur S. Keating Sports Center,Perlstein Hall,2,7,served
13,4,25596.18692829964,25859.87962164497,263.69269334532873,0.4112,0.765,0.447,0.9364,Arthur S. Keating Sports Center,Rowe Village Middle,3,7,served
125,9,25597.70680727302,25859.87962164497,262.17281437194833,0.1052,0.2212,0.124,0.9376,Grover M. Herman Hall,Main Building,4,7,served
253,2,25599.562089168532,25909.87962164497,310.3175324764379,0.0,0.0715,0.0272,0.9387,McCormick Tribune Campus Center,The Commons,5,7,served
260,5,25613.75878941444,25909.87962164497,296.1208322305283,0.1049,0.8235,0.3528,0.935,Paul Galvin Library,Arthur S. Keating Sports Center,7,7,served
143,8,25650.668851929186,25909.87962164497,259.2107697157844,0.2428,0.1836,0.162,0.9383,Kaplan Institute,Pritzker Science Center,3,7,served
33,9,25657.417845546785,25959.87962164497,302.4617760981855,0.2775,0.3604,0.2424,0.9356,Chemistry Research Building,Rowe Village Middle,4,7,served
215,2,25674.223584436422,25959.87962164497,285.6560372085478,0.1239,0.4715,0.2263,0.9368,McCormick Student Village,S.R. Crown Hall,5,7,served
302,7,25681.782106798895,25959.87962164497,278.0975148460748,0.4112,0.1915,0.229,0.9359,Perlstein Hall,The Commons,2,7,served
181,6,25691.18310920424,26009.87962164497,318.69651244072884,0.3701,0.4811,0.3235,0.936,McCormick Student Village,Kaplan Institute,7,7,served
285,8,25701.108124844504,26009.87962164497,308.7714968004657,0.2732,0.1368,0.1558,0.9369,Perlstein Hall,Grover M. Herman Hall,9,7,served
276,3,25713.33891869487,26009.87962164497,296.54070295010024,0.1991,0.4559,0.2489,0.9347,Paul Galvin Library,The Commons,3,7,served
