time_sec,time_str,vehicle_id,status,lat,lon,soc,km_today,trips_served
25159.87962164497,06:59,0,serving,41.835527,-87.624207,0.9455,1.38,2
25159.87962164497,06:59,1,serving,41.838985,-87.625566,0.9431,2.13,3
25159.87962164497,06:59,2,serving,41.835479,-87.627146,0.9455,1.41,3
25159.87962164497,06:59,3,serving,41.833199,-87.627273,0.946,1.23,2
25159.87962164497,06:59,4,serving,41.83604,-87.625535,0.9456,1.38,3
25159.87962164497,06:59,5,serving,41.83793,-87.62738,0.9444,1.74,2
25159.87962164497,06:59,6,serving,41.836861,-87.6283,0.946,1.23,3
25159.87962164497,06:59,7,serving,41.83604,-87.625535,0.9443,1.77,3
25159.87962164497,06:59,8,serving,41.835621,-87.625887,0.9459,1.26,3
25159.87962164497,06:59,9,serving,41.83774,-87.623975,0.9448,1.63,3
28759.87962164497,07:59,0,serving,41.83793,-87.62738,0.8923,17.91,24
28759.87962164497,07:59,1,serving,41.835479,-87.627146,0.8907,18.42,24
28759.87962164497,07:59,2,serving,41.835621,-87.625887,0.8927,17.78,30
28759.87962164497,07:59,3,serving,41.833675,-87.628336,0.8912,18.25,26
28759.87962164497,07:59,4,serving,41.83604,-87.625535,0.8921,17.98,25
28759.87962164497,07:59,5,serving,41.838985,-87.625566,0.8894,18.83,26
28759.87962164497,07:59,6,serving,41.833675,-87.628336,0.8926,17.82,26
28759.87962164497,07:59,7,serving,41.831886,-87.628445,0.8884,19.12,27
28759.87962164497,07:59,8,serving,41.834303,-87.629281,0.8933,17.61,26
28759.87962164497,07:59,9,serving,41.838985,-87.625566,0.8899,18.65,25
32359.87962164497,08:59,0,serving,41.835527,-87.624207,0.8394,34.35,47
32359.87962164497,08:59,1,serving,41.835479,-87.627146,0.8369,35.11,47
32359.87962164497,08:59,2,serving,41.835681,-87.628387,0.8405,34.01,52
32359.87962164497,08:59,3,serving,41.833199,-87.627273,0.8385,34.63,52
32359.87962164497,08:59,4,serving,41.831886,-87.628445,0.8361,35.38,45
32359.87962164497,08:59,5,serving,41.835479,-87.627146,0.8363,35.29,51
32359.87962164497,08:59,6,serving,41.835479,-87.627146,0.8377,34.89,49
32359.87962164497,08:59,7,serving,41.835527,-87.624207,0.8355,35.55,49
32359.87962164497,08:59,8,serving,41.834344,-87.623795,0.8404,34.04,52
32359.87962164497,08:59,9,serving,41.835681,-87.628387,0.8401,34.13,49
35959.87962164497,09:59,0,serving,41.831886,-87.628445,0.7879,50.35,71
35959.87962164497,09:59,1,serving,41.835621,-87.625887,0.7843,51.46,71
