time_sec,time_str,vehicle_id,status,lat,lon,soc,km_today,trips_served
25159.87962164497,06:59,0,serving,41.838985,-87.625566,0.9444,1.75,3
25159.87962164497,06:59,1,serving,41.836861,-87.6283,0.9435,2.02,3
25159.87962164497,06:59,2,serving,41.838985,-87.625566,0.9425,2.33,4
25159.87962164497,06:59,3,serving,41.83774,-87.623975,0.9448,1.63,3
25159.87962164497,06:59,4,serving,41.833199,-87.627273,0.9449,1.59,4
25159.87962164497,06:59,5,serving,41.835479,-87.627146,0.9445,1.71,4
25159.87962164497,06:59,6,serving,41.833199,-87.627273,0.9468,1.0,3
25159.87962164497,06:59,7,serving,41.833199,-87.627273,0.9439,1.91,4
25159.87962164497,06:59,8,serving,41.835527,-87.624207,0.9446,1.69,3
25159.87962164497,06:59,9,serving,41.834303,-87.629281,0.9446,1.67,4
28759.87962164497,07:59,0,serving,41.83604,-87.625535,0.8969,16.49,33
28759.87962164497,07:59,1,serving,41.834303,-87.629281,0.8941,17.35,35
28759.87962164497,07:59,2,serving,41.83774,-87.623975,0.8925,17.86,32
28759.87962164497,07:59,3,serving,41.835681,-87.628387,0.895,17.09,32
28759.87962164497,07:59,4,serving,41.834344,-87.623795,0.8942,17.33,39
28759.87962164497,07:59,5,serving,41.83604,-87.625535,0.8969,16.48,35
28759.87962164497,07:59,6,serving,41.833199,-87.627273,0.898,16.14,38
28759.87962164497,07:59,7,serving,41.83604,-87.625535,0.8948,17.15,34
28759.87962164497,07:59,8,serving,41.838985,-87.625566,0.8957,16.85,34
28759.87962164497,07:59,9,serving,41.833712,-87.626167,0.8958,16.82,39
32359.87962164497,08:59,0,serving,41.835479,-87.627146,0.8485,31.51,73
32359.87962164497,08:59,1,serving,41.833712,-87.626167,0.8483,31.6,73
32359.87962164497,08:59,2,serving,41.834344,-87.623795,0.8464,32.16,71
32359.87962164497,08:59,3,serving,41.83793,-87.62738,0.8464,32.17,73
32359.87962164497,08:59,4,serving,41.83793,-87.62738,0.8466,32.12,73
32359.87962164497,08:59,5,serving,41.831886,-87.628445,0.8506,30.87,73
32359.87962164497,08:59,6,serving,41.83793,-87.62738,0.8492,31.29,76
32359.87962164497,08:59,7,serving,41.833199,-87.627273,0.8489,31.4,72
32359.87962164497,08:59,8,serving,41.835621,-87.625887,0.8467,32.08,71
32359.87962164497,08:59,9,serving,41.83604,-87.625535,0.8476,31.79,81
35959.87962164497,09:59,0,serving,41.833199,-87.627273,0.8033,45.57,113
35959.87962164497,09:59,1,serving,41.835621,-87.625887,0.8042,45.26,115
35959.87962164497,09:59,2,serving,41.833675,-87.628336,0.8009,46.31,115
35959.87962164497,09:59,3,serving,41.835479,-87.627146,0.8008,46.34,111
35959.87962164497,09:59,4,serving,41.83604,-87.625535,0.7982,47.15,114
35959.87962164497,09:59,5,serving,41.833712,-87.626167,0.8058,44.76,115
35959.87962164497,09:59,6,serving,41.83604,-87.625535,0.8035,45.48,115
35959.87962164497,09:59,7,serving,41.831886,-87.628445,0.7991,46.85,110
35959.87962164497,09:59,8,serving,41.831886,-87.628445,0.7997,46.69,110
35959.87962164497,09:59,9,serving,41.834344,-87.623795,0.8015,46.1,116
39559.87962164497,10:59,0,serving,41.834344,-87.623795,0.7587,59.4,153
39559.87962164497,10:59,1,serving,41.835681,-87.628387,0.7598,59.07,159
39559.87962164497,10:59,2,serving,41.835681,-87.628387,0.7531,61.13,156
39559.87962164497,10:59,3,serving,41.83774,-87.623975,0.7535,61.01,154
39559.87962164497,10:59,4,serving,41.831886,-87.628445,0.7544,60.74,156
39559.87962164497,10:59,5,serving,41.833032,-87.624633,0.7614,58.55,160
39559.87962164497,10:59,6,serving,41.834303,-87.629281,0.76,59.01,156
39559.87962164497,10:59,7,serving,41.833199,-87.627273,0.7553,60.47,152
39559.87962164497,10:59,8,serving,41.836861,-87.6283,0.7559,60.29,151
39559.87962164497,10:59,9,serving,41.834303,-87.629281,0.7581,59.6,157
43159.87962164497,11:59,0,serving,41.834303,-87.629281,0.7148,73.04,194
43159.87962164497,11:59,1,serving,41.83774,-87.623975,0.7153,72.88,200
43159.87962164497,11:59,2,serving,41.83793,-87.62738,0.7092,74.78,200
43159.87962164497,11:59,3,serving,41.835621,-87.625887,0.7095,74.69,199
43159.87962164497,11:59,4,serving,41.833199,-87.627273,0.7108,74.29,202
43159.87962164497,11:59,5,serving,41.833675,-87.628336,0.7175,72.21,202
43159.87962164497,11:59,6,serving,41.833675,-87.628336,0.7153,72.89,203
43159.87962164497,11:59,7,serving,41.835621,-87.625887,0.7128,73.66,200
43159.87962164497,11:59,8,serving,41.833675,-87.628336,0.7115,74.06,194
43159.87962164497,11:59,9,serving,41.83774,-87.623975,0.714,73.29,201
46759.87962164497,12:59,0,serving,41.835621,-87.625887,0.6711,86.59,237
46759.87962164497,12:59,1,serving,41.83604,-87.625535,0.6691,87.24,245
46759.87962164497,12:59,2,serving,41.835621,-87.625887,0.6646,88.62,243
46759.87962164497,12:59,3,serving,41.835621,-87.625887,0.6673,87.77,241
46759.87962164497,12:59,4,serving,41.838985,-87.625566,0.6646,88.63,247
46759.87962164497,12:59,5,serving,41.835621,-87.625887,0.6728,86.07,245
46759.87962164497,12:59,6,serving,41.831886,-87.628445,0.6708,86.7,243
46759.87962164497,12:59,7,serving,41.834303,-87.629281,0.6668,87.95,246
46759.87962164497,12:59,8,serving,41.834303,-87.629281,0.6706,86.77,235
46759.87962164497,12:59,9,serving,41.83774,-87.623975,0.6709,86.68,240
50359.87962164497,13:59,0,serving,41.83604,-87.625535,0.6298,99.44,280
50359.87962164497,13:59,1,serving,41.833712,-87.626167,0.6249,100.95,289
50359.87962164497,13:59,2,serving,41.835621,-87.625887,0.619,102.77,285
50359.87962164497,13:59,3,serving,41.835479,-87.627146,0.6234,101.43,284
50359.87962164497,13:59,4,serving,41.833675,-87.628336,0.6187,102.89,288
50359.87962164497,13:59,5,serving,41.835621,-87.625887,0.6251,100.9,288
50359.87962164497,13:59,6,serving,41.835479,-87.627146,0.6257,100.72,283
50359.87962164497,13:59,7,serving,41.836861,-87.6283,0.6248,100.97,292
50359.87962164497,13:59,8,serving,41.833675,-87.628336,0.6253,100.83,277
50359.87962164497,13:59,9,serving,41.835527,-87.624207,0.6293,99.6,284
53959.87962164497,14:59,0,serving,41.836861,-87.6283,0.5834,113.84,321
53959.87962164497,14:59,1,serving,41.835527,-87.624207,0.5776,115.63,332
53959.87962164497,14:59,2,serving,41.836861,-87.6283,0.5745,116.62,325
53959.87962164497,14:59,3,serving,41.833675,-87.628336,0.5734,116.94,325
53959.87962164497,14:59,4,serving,41.838985,-87.625566,0.5712,117.62,331
53959.87962164497,14:59,5,serving,41.835479,-87.627146,0.581,114.59,328
53959.87962164497,14:59,6,serving,41.838985,-87.625566,0.5778,115.58,326
53959.87962164497,14:59,7,serving,41.835479,-87.627146,0.5785,115.37,329
53959.87962164497,14:59,8,serving,41.834303,-87.629281,0.5809,114.62,318
53959.87962164497,14:59,9,serving,41.835527,-87.624207,0.5812,114.53,326
57559.87962164497,15:59,0,serving,41.833199,-87.627273,0.5393,127.52,364
57559.87962164497,15:59,1,serving,41.836861,-87.6283,0.5301,130.39,371
57559.87962164497,15:59,2,serving,41.836861,-87.6283,0.5305,130.26,366
57559.87962164497,15:59,3,serving,41.833712,-87.626167,0.5268,131.41,366
57559.87962164497,15:59,4,serving,41.83793,-87.62738,0.527,131.36,374
57559.87962164497,15:59,5,serving,41.836861,-87.6283,0.5343,129.07,369
57559.87962164497,15:59,6,serving,41.83774,-87.623975,0.5324,129.67,364
57559.87962164497,15:59,7,serving,41.83774,-87.623975,0.5341,129.14,372
57559.87962164497,15:59,8,serving,41.83793,-87.62738,0.5357,128.64,359
