origin,destination,hour,origin_category,dest_category,multiplier,priority_weight,expected_trips,trips
Alpha Sigma Phi,Arthur S. Keating Sports Center,7,Greek Housing,Recreation,0.2,0.1875,0.3,0
Alpha Sigma Phi,Arthur S. Keating Sports Center,8,Greek Housing,Recreation,0.2,0.1875,0.3,1
Alpha Sigma Phi,Arthur S. Keating Sports Center,9,Greek Housing,Recreation,0.2,0.1875,0.3,0
Alpha Sigma Phi,Arthur S. Keating Sports Center,10,Greek Housing,Recreation,0.2,0.1875,0.3,0
Alpha Sigma Phi,Arthur S. Keating Sports Center,11,Greek Housing,Recreation,0.2,0.1875,0.3,0
Alpha Sigma Phi,Arthur S. Keating Sports Center,12,Greek Housing,Recreation,0.2,0.1875,0.3,0
Alpha Sigma Phi,Arthur S. Keating Sports Center,13,Greek Housing,Recreation,0.2,0.1875,0.3,1
Alpha Sigma Phi,Arthur S. Keating Sports Center,14,Greek Housing,Recreation,0.2,0.1875,0.3,0
Alpha Sigma Phi,Arthur S. Keating Sports Center,15,Greek Housing,Recreation,0.7,0.1875,1.05,0
Alpha Sigma Phi,Arthur S. Keating Sports Center,16,Greek Housing,Recreation,0.7,0.1875,1.05,2
Alpha Sigma Phi,Arthur S. Keating Sports Center,17,Greek Housing,Recreation,0.7,0.1875,1.05,0
Alpha Sigma Phi,Arthur S. Keating Sports Center,18,Greek Housing,Recreation,0.7,0.1875,1.05,0
Alpha Sigma Phi,Arthur S. Keating Sports Center,19,Greek Housing,Recreation,0.7,0.1875,1.05,0
Alpha Sigma Phi,Arthur S. Keating Sports Center,20,Greek Housing,Recreation,0.7,0.1875,1.05,1
Alpha Sigma Phi,Arthur S. Keating Sports Center,21,Greek Housing,Recreation,0.7,0.1875,1.05,0
Alpha Sigma Phi,Arthur S. Keating Sports Center,22,Greek Housing,Recreation,0.2,0.1875,0.3,0
Alpha Sigma Phi,Chemistry Research Building,7,Greek Housing,Academic,0.2,0.1875,0.3,0
Alpha Sigma Phi,Chemistry Research Building,8,Greek Housing,Academic,0.5,0.1875,0.75,0
Alpha Sigma Phi,Chemistry Research Building,9,Greek Housing,Academic,0.5,0.1875,0.75,0
Alpha Sigma Phi,Chemistry Research Building,10,Greek Housing,Academic,0.5,0.1875,0.75,0
Alpha Sigma Phi,Chemistry Research Building,11,Greek Housing,Academic,0.5,0.1875,0.75,1
Alpha Sigma Phi,Chemistry Research Building,12,Greek Housing,Academic,0.5,0.1875,0.75,1
Alpha Sigma Phi,Chemistry Research Building,13,Greek Housing,Academic,0.5,0.1875,0.75,0
Alpha Sigma Phi,Chemistry Research Building,14,Greek Housing,Academic,0.5,0.1875,0.75,1
Alpha Sigma Phi,Chemistry Research Building,15,Greek Housing,Academic,0.5,0.1875,0.75,0
Alpha Sigma Phi,Chemistry Research Building,16,Greek Housing,Academic,0.5,0.1875,0.75,3
Alpha Sigma Phi,Chemistry Research Building,17,Greek Housing,Academic,0.5,0.1875,0.75,0
Alpha Sigma Phi,Chemistry Research Building,18,Greek Housing,Academic,0.5,0.1875,0.75,1
Alpha Sigma Phi,Chemistry Research Building,19,Greek Housing,Academic,0.2,0.1875,0.3,0
Alpha Sigma Phi,Chemistry Research Building,20,Greek Housing,Academic,0.2,0.1875,0.3,0
Alpha Sigma Phi,Chemistry Research Building,21,Greek Housing,Academic,0.2,0.1875,0.3,0
Alpha Sigma Phi,Chemistry Research Building,22,Greek Housing,Academic,0.2,0.1875,0.3,1
Alpha Sigma Phi,Cunningham Hall,7,Greek Housing,Residence,0.2,0.1875,0.3,0
Alpha Sigma Phi,Cunningham Hall,8,Greek Housing,Residence,0.5,0.1875,0.75,0
Alpha Sigma Phi,Cunningham Hall,9,Greek Housing,Residence,0.5,0.1875,0.75,1
Alpha Sigma Phi,Cunningham Hall,10,Greek Housing,Residence,0.5,0.1875,0.75,0
Alpha Sigma Phi,Cunningham Hall,11,Greek Housing,Residence,0.5,0.1875,0.75,4
Alpha Sigma Phi,Cunningham Hall,12,Greek Housing,Residence,0.5,0.1875,0.75,1
Alpha Sigma Phi,Cunningham Hall,13,Greek Housing,Residence,0.5,0.1875,0.75,0
Alpha Sigma Phi,Cunningham Hall,14,Greek Housing,Residence,0.5,0.1875,0.75,0
Alpha Sigma Phi,Cunningham Hall,15,Greek Housing,Residence,0.5,0.1875,0.75,0
Alpha Sigma Phi,Cunningham Hall,16,Greek Housing,Residence,0.5,0.1875,0.75,0
Alpha Sigma Phi,Cunningham Hall,17,Greek Housing,Residence,0.5,0.1875,0.75,0
Alpha Sigma Phi,Cunningham Hall,18,Greek Housing,Residence,0.5,0.1875,0.75,1
Alpha Sigma Phi,Cunningham Hall,19,Greek Housing,Residence,0.2,0.1875,0.3,0
Alpha Sigma Phi,Cunningham Hall,20,Greek Housing,Residence,0.2,0.1875,0.3,0
Alpha Sigma Phi,Cunningham Hall,21,Greek Housing,Residence,0.2,0.1875,0.3,0
Alpha Sigma Phi,Cunningham Hall,22,Greek Housing,Residence,0.2,0.1875,0.3,1
Alpha Sigma Phi,Farr Hall,7,Greek Housing,Residence,0.2,0.1875,0.3,2
Alpha Sigma Phi,Farr Hall,8,Greek Housing,Residence,0.5,0.1875,0.75,0
Alpha Sigma Phi,Farr Hall,9,Greek Housing,Residence,0.5,0.1875,0.75,2
Alpha Sigma Phi,Farr Hall,10,Greek Housing,Residence,0.5,0.1875,0.75,1
Alpha Sigma Phi,Farr Hall,11,Greek Housing,Residence,0.5,0.1875,0.75,0
Alpha Sigma Phi,Farr Hall,12,Greek Housing,Residence,0.5,0.1875,0.75,0
Alpha Sigma Phi,Farr Hall,13,Greek Housing,Residence,0.5,0.1875,0.75,2
Alpha Sigma Phi,Farr Hall,14,Greek Housing,Residence,0.5,0.1875,0.75,0
Alpha Sigma Phi,Farr Hall,15,Greek Housing,Residence,0.5,0.1875,0.75,0
Alpha Sigma Phi,Farr Hall,16,Greek Housing,Residence,0.5,0.1875,0.75,0
Alpha Sigma Phi,Farr Hall,17,Greek Housing,Residence,0.5,0.1875,0.75,1
Alpha Sigma Phi,Farr Hall,18,Greek Housing,Residence,0.5,0.1875,0.75,1
Alpha Sigma Phi,Farr Hall,19,Greek Housing,Residence,0.2,0.1875,0.3,0
Alpha Sigma Phi,Farr Hall,20,Greek Housing,Residence,0.2,0.1875,0.3,0
Alpha Sigma Phi,Farr Hall,21,Greek Housing,Residence,0.2,0.1875,0.3,1
Alpha Sigma Phi,Farr Hall,22,Greek Housing,Residence,0.2,0.1875,0.3,1
Alpha Sigma Phi,Grover M. Herman Hall,7,Greek Housing,Admin,0.2,0.125,0.2,0
Alpha Sigma Phi,Grover M. Herman Hall,8,Greek Housing,Admin,0.5,0.125,0.5,0
Alpha Sigma Phi,Grover M. Herman Hall,9,Greek Housing,Admin,0.5,0.125,0.5,0
Alpha Sigma Phi,Grover M. Herman Hall,10,Greek Housing,Admin,0.5,0.125,0.5,0
Alpha Sigma Phi,Grover M. Herman Hall,11,Greek Housing,Admin,0.5,0.125,0.5,0
Alpha Sigma Phi,Grover M. Herman Hall,12,Greek Housing,Admin,0.5,0.125,0.5,1
Alpha Sigma Phi,Grover M. Herman Hall,13,Greek Housing,Admin,0.5,0.125,0.5,0
Alpha Sigma Phi,Grover M. Herman Hall,14,Greek Housing,Admin,0.5,0.125,0.5,1
Alpha Sigma Phi,Grover M. Herman Hall,15,Greek Housing,Admin,0.5,0.125,0.5,0
Alpha Sigma Phi,Grover M. Herman Hall,16,Greek Housing,Admin,0.5,0.125,0.5,1
Alpha Sigma Phi,Grover M. Herman Hall,17,Greek Housing,Admin,0.5,0.125,0.5,0
Alpha Sigma Phi,Grover M. Herman Hall,18,Greek Housing,Admin,0.5,0.125,0.5,0
Alpha Sigma Phi,Grover M. Herman Hall,19,Greek Housing,Admin,0.2,0.125,0.2,0
Alpha Sigma Phi,Grover M. Herman Hall,20,Greek Housing,Admin,0.2,0.125,0.2,1
Alpha Sigma Phi,Grover M. Herman Hall,21,Greek Housing,Admin,0.2,0.125,0.2,0
Alpha Sigma Phi,Grover M. Herman Hall,22,Greek Housing,Admin,0.2,0.125,0.2,1
Alpha Sigma Phi,Kaplan Institute,7,Greek Housing,Academic,0.2,0.25,0.4,0
Alpha Sigma Phi,Kaplan Institute,8,Greek Housing,Academic,0.5,0.25,1.0,3
Alpha Sigma Phi,Kaplan Institute,9,Greek Housing,Academic,0.5,0.25,1.0,0
Alpha Sigma Phi,Kaplan Institute,10,Greek Housing,Academic,0.5,0.25,1.0,0
Alpha Sigma Phi,Kaplan Institute,11,Greek Housing,Academic,0.5,0.25,1.0,0
Alpha Sigma Phi,Kaplan Institute,12,Greek Housing,Academic,0.5,0.25,1.0,1
Alpha Sigma Phi,Kaplan Institute,13,Greek Housing,Academic,0.5,0.25,1.0,1
Alpha Sigma Phi,Kaplan Institute,14,Greek Housing,Academic,0.5,0.25,1.0,1
Alpha Sigma Phi,Kaplan Institute,15,Greek Housing,Academic,0.5,0.25,1.0,0
Alpha Sigma Phi,Kaplan Institute,16,Greek Housing,Academic,0.5,0.25,1.0,0
Alpha Sigma Phi,Kaplan Institute,17,Greek Housing,Academic,0.5,0.25,1.0,0
Alpha Sigma Phi,Kaplan Institute,18,Greek Housing,Academic,0.5,0.25,1.0,1
Alpha Sigma Phi,Kaplan Institute,19,Greek Housing,Academic,0.2,0.25,0.4,0
Alpha Sigma Phi,Kaplan Institute,20,Greek Housing,Academic,0.2,0.25,0.4,1
Alpha Sigma Phi,Kaplan Institute,21,Greek Housing,Academic,0.2,0.25,0.4,2
Alpha Sigma Phi,Kaplan Institute,22,Greek Housing,Academic,0.2,0.25,0.4,0
