,Alpha Sigma Phi,Arthur S. Keating Sports Center,Chemistry Research Building,Cunningham Hall,Farr Hall,Grover M. Herman Hall,Kaplan Institute,Main Building,McCormick Student Village,McCormick Tribune Campus Center,Paul Galvin Library,Perlstein Hall,Pritzker Science Center,Rowe Village Middle,S.R. Crown Hall,The Commons
Alpha Sigma Phi,0.0,0.8663733996273877,0.44273720959444063,0.6842372654249173,0.21003539280570982,0.5568684148253565,0.6799542245724778,0.5332602074608301,0.36356746208768653,0.39787352488575,0.40951913482278524,0.44539373394016757,0.7673503780582396,0.19224884098473968,0.28536513578135875,0.4455370529508667
Arthur S. Keating Sports Center,0.8663733996273877,0.0,1.0720074037196194,0.24849149479934346,0.6974595367774709,0.5660483245517495,0.4254007669242739,0.7862186202967963,0.5208527347738338,0.48750499652371765,0.8235150464551457,0.5346084308532877,0.2478375407139595,0.7649734639045076,0.8563529397410059,0.4257228681251288
Chemistry Research Building,0.44273720959444063,1.0720074037196194,0.0,0.9735789867014656,0.6140664103608572,0.5486157368130525,0.7193227354980981,0.36080160296245567,0.6966773642956385,0.6061385899404795,0.258872383204488,0.5378942715142017,0.881178123518445,0.36037565856217435,0.22794296428966485,0.6773486632634657
Cunningham Hall,0.6842372654249173,0.24849149479934346,0.9735789867014656,0.0,0.4912859973601554,0.5606896682377269,0.482814838704971,0.7572353065767866,0.32087100640541383,0.3690915221784714,0.7522554458220946,0.47270907697245274,0.3677368832268682,0.6283009198343963,0.746357714994965,0.29768450075225317
Farr Hall,0.21003539280570982,0.6974595367774709,0.6140664103608572,0.4912859973601554,0.0,0.5309900825294884,0.6064596896954871,0.590890331718588,0.17666997121546077,0.2912751197613845,0.49855250954131586,0.39645280676658956,0.6463616920683545,0.2713170982714827,0.4095321198760148,0.3085837543072346
Grover M. Herman Hall,0.5568684148253565,0.5660483245517495,0.5486157368130525,0.5606896682377269,0.5309900825294884,0.0,0.17083017720324387,0.2212452021516862,0.45074107397795476,0.2693924590745933,0.29002614915968633,0.1368096687908297,0.34271339885314694,0.37172651163192627,0.37831166768352276,0.3115155146241494
Kaplan Institute,0.6799542245724778,0.4254007669242739,0.7193227354980981,0.482814838704971,0.6064596896954871,0.17083017720324387,0.0,0.3845660484388735,0.4811492792969012,0.3157008646205739,0.4605634678789706,0.235278993966547,0.18356493203027707,0.5098830186314361,0.5407872578076243,0.32056725198729863
Main Building,0.5332602074608301,0.7862186202967963,0.36080160296245567,0.7572353065767866,0.590890331718588,0.2212452021516862,0.3845660484388735,0.0,0.5744107827492088,0.4122123456752137,0.1363823091161516,0.28595937472060434,0.5628527732901957,0.34609948673398266,0.2687765393087931,0.4752040300369863
McCormick Student Village,0.36356746208768653,0.5208527347738338,0.6966773642956385,0.32087100640541383,0.17666997121546077,0.45074107397795476,0.4811492792969012,0.5744107827492088,0.0,0.1814475986834296,0.5190693002235183,0.31661036745555826,0.4872777136613444,0.3367451421700219,0.47147645222489315,0.1611079161406062
McCormick Tribune Campus Center,0.39787352488575,0.48750499652371765,0.6061385899404795,0.3690915221784714,0.2912751197613845,0.2693924590745933,0.3157008646205739,0.4122123456752137,0.1814475986834296,0.0,0.38561866329760575,0.13714078830083093,0.37048613045317114,0.2775953631007034,0.38060395674860714,0.07145409695181344
Paul Galvin Library,0.40951913482278524,0.8235150464551457,0.258872383204488,0.7522554458220946,0.49855250954131586,0.29002614915968633,0.4605634678789706,0.1363823091161516,0.5190693002235183,0.38561866329760575,0.0,0.2905682457124709,0.6236329939004259,0.2336720956800626,0.1335757428610997,0.4559406003658944
Perlstein Hall,0.44539373394016757,0.5346084308532877,0.5378942715142017,0.47270907697245274,0.39645280676658956,0.1368096687908297,0.235278993966547,0.28595937472060434,0.31661036745555826,0.13714078830083093,0.2905682457124709,0.0,0.35519556975770716,0.27633350571501597,0.32986547975934416,0.1915221066572795
Pritzker Science Center,0.7673503780582396,0.2478375407139595,0.881178123518445,0.3677368832268682,0.6463616920683545,0.34271339885314694,0.18356493203027707,0.5628527732901957,0.4872777136613444,0.37048613045317114,0.6236329939004259,0.35519556975770716,0.0,0.6235649233161095,0.6839792456840708,0.3378238185168586
Rowe Village Middle,0.19224884098473968,0.7649734639045076,0.36037565856217435,0.6283009198343963,0.2713170982714827,0.37172651163192627,0.5098830186314361,0.34609948673398266,0.3367451421700219,0.2775953631007034,0.2336720956800626,0.27633350571501597,0.6235649233161095,0.0,0.14031762222832372,0.3433353656764553
S.R. Crown Hall,0.28536513578135875,0.8563529397410059,0.22794296428966485,0.746357714994965,0.4095321198760148,0.37831166768352276,0.5407872578076243,0.2687765393087931,0.47147645222489315,0.38060395674860714,0.1335757428610997,0.32986547975934416,0.6839792456840708,0.14031762222832372,0.0,0.45132487712383196
The Commons,0.4455370529508667,0.4257228681251288,0.6773486632634657,0.29768450075225317,0.3085837543072346,0.3115155146241494,0.32056725198729863,0.4752040300369863,0.1611079161406062,0.07145409695181344,0.4559406003658944,0.1915221066572795,0.3378238185168586,0.3433353656764553,0.45132487712383196,0.0
