poi_name,latitude,longitude,category,priority
Alpha Sigma Phi,41.833032,-87.624633,Greek Housing,4
Arthur S. Keating Sports Center,41.838985,-87.625566,Recreation,2
Chemistry Research Building,41.831886,-87.628445,Academic,2
Cunningham Hall,41.83774,-87.623975,Residence,2
Farr Hall,41.834344,-87.623795,Residence,2
Grover M. Herman Hall,41.835681,-87.628387,Admin,3
Kaplan Institute,41.836861,-87.6283,Academic,1
Main Building,41.834303,-87.629281,Academic,1
McCormick Student Village,41.835527,-87.624207,Residence,1
McCormick Tribune Campus Center,41.835621,-87.625887,Student Center,1
Paul Galvin Library,41.833675,-87.628336,Library,1
Perlstein Hall,41.835479,-87.627146,Academic,1
Pritzker Science Center,41.83793,-87.62738,Academic,1
Rowe Village Middle,41.833712,-87.626167,Residence,2
S.R. Crown Hall,41.833199,-87.627273,Academic,1
The Commons,41.83604,-87.625535,Dining,1
