trip_id,vehicle_id,request_time,dispatch_time,wait_time_sec,deadhead_km,trip_km,energy_kWh,soc_after,origin,destination,n_passengers,hour,status
45,0,25239.015545329075,25159.87962164497,0.0,0.0619,0.4828,0.207,0.9482,Cunningham Hall,Kaplan Institute,7,7,served
34,1,25291.26267629565,25159.87962164497,0.0,0.1145,0.6773,0.3009,0.9475,Chemistry Research Building,The Commons,4,7,served
361,2,25232.594981689337,25159.87962164497,0.0,0.0,0.2688,0.1021,0.9491,S.R. Crown Hall,Main Building,5,7,served
123,3,25287.842813603536,25159.87962164497,0.0,0.0,0.1708,0.0649,0.9494,Grover M. Herman Hall,Kaplan Institute,5,7,served
148,4,25319.53119164892,25159.87962164497,0.0,0.0,0.3206,0.1218,0.949,Kaplan Institute,The Commons,2,7,served
229,5,25287.09035000888,25159.87962164497,0.0,0.0,0.1611,0.0612,0.9495,McCormick Student Village,The Commons,6,7,served
266,6,25227.59051753721,25159.87962164497,0.0,0.0,0.29,0.1102,0.9491,Paul Galvin Library,Grover M. Herman Hall,2,7,served
101,7,25436.55110194207,25159.87962164497,0.0,0.0,0.1767,0.0671,0.9494,Farr Hall,McCormick Student Village,6,7,served
84,8,25439.3865625204,25159.87962164497,0.0,0.0,0.6975,0.265,0.9478,Farr Hall,Arthur S. Keating Sports Center,5,7,served
69,9,25347.127018559324,25159.87962164497,0.0,0.0619,0.4727,0.2032,0.9483,Cunningham Hall,Perlstein Hall,3,7,served
153,2,25310.349007940906,25209.87962164497,0.0,0.0,0.4122,0.1566,0.9478,Main Building,McCormick Tribune Campus Center,7,7,served
139,3,25279.64478550439,25209.87962164497,0.0,0.0,0.4828,0.1835,0.9479,Kaplan Institute,Cunningham Hall,7,7,served
375,5,25407.835773210423,25209.87962164497,0.0,0.0,0.3206,0.1218,0.9484,The Commons,Kaplan Institute,6,7,served
202,7,25243.634788718016,25209.87962164497,0.0,0.0,0.3166,0.1203,0.9484,McCormick Student Village,Perlstein Hall,7,7,served
308,0,25373.469644615867,25259.87962164497,0.0,0.1412,0.2478,0.1478,0.947,Pritzker Science Center,Arthur S. Keating Sports Center,6,7,served
247,4,25245.387071912737,25259.87962164497,14.492549732232874,0.055,0.1371,0.073,0.9483,McCormick Tribune Campus Center,Perlstein Hall,5,7,served
136,6,25222.9891381806,25259.87962164497,36.89048346436903,0.0,0.3783,0.1438,0.9478,Grover M. Herman Hall,S.R. Crown Hall,7,7,served
301,9,25395.595325362458,25259.87962164497,0.0,0.0,0.1915,0.0728,0.9477,Perlstein Hall,The Commons,2,7,served
240,1,25387.043679195365,25309.87962164497,0.0,0.055,0.3157,0.1409,0.9463,McCormick Tribune Campus Center,Kaplan Institute,3,7,served
232,2,25405.396996144515,25309.87962164497,0.0,0.0,0.4875,0.1852,0.9462,McCormick Tribune Campus Center,Arthur S. Keating Sports Center,5,7,served
41,3,25454.047490641547,25309.87962164497,0.0,0.0,0.9736,0.37,0.9448,Cunningham Hall,Chemistry Research Building,2,7,served
349,4,25386.608876831026,25309.87962164497,0.0,0.2126,0.1403,0.1341,0.9472,Rowe Village Middle,S.R. Crown Hall,4,7,served
316,5,25263.188508119863,25309.87962164497,46.69111352510663,0.1412,0.3552,0.1886,0.9469,Pritzker Science Center,Perlstein Hall,5,7,served
348,7,25243.764377318592,25309.87962164497,66.11524432637816,0.2126,0.1403,0.1341,0.9473,Rowe Village Middle,S.R. Crown Hall,5,7,served
7,8,25219.87962164497,25309.87962164497,90.0,0.0,0.5209,0.1979,0.9461,Arthur S. Keating Sports Center,McCormick Student Village,5,7,served
242,9,25434.73652853777,25309.87962164497,0.0,0.055,0.4122,0.1775,0.9462,McCormick Tribune Campus Center,Main Building,6,7,served
