scenario_id,fleet_size,epoch_minutes,weights,temperature,method,trips_served,trips_missed,service_rate_pct,total_energy_kWh,avg_energy_per_trip,avg_wait_sec,total_deadhead_km,wall_time_sec
F5_E2_Wbal_Tcol,5,2.0,balanced,cold_winter,milp_ml,4317,5156,45.57,501.45,0.1162,362.9,33.11,41.02
F5_E2_Wbal_Tcol,5,2.0,balanced,cold_winter,milp_fixed,4317,5156,45.57,501.45,0.1162,362.9,33.11,41.13
F5_E2_Wbal_Tcol,5,2.0,balanced,cold_winter,nearest,1707,7766,18.02,460.26,0.2696,1777.6,490.47,0.98
F5_E2_Wbal_Tbas,5,2.0,balanced,baseline,milp_ml,4317,5156,45.57,501.45,0.1162,362.9,33.11,44.36
F5_E2_Wbal_Tbas,5,2.0,balanced,baseline,milp_fixed,4317,5156,45.57,501.45,0.1162,362.9,33.11,45.28
F5_E2_Wbal_Tbas,5,2.0,balanced,baseline,nearest,1707,7766,18.02,460.26,0.2696,1777.6,490.47,0.98
F5_E2_Wbal_Thot,5,2.0,balanced,hot_summer,milp_ml,4317,5156,45.57,501.45,0.1162,362.9,33.11,45.24
F5_E2_Wbal_Thot,5,2.0,balanced,hot_summer,milp_fixed,4317,5156,45.57,501.45,0.1162,362.9,33.11,54.86
F5_E2_Wbal_Thot,5,2.0,balanced,hot_summer,nearest,1707,7766,18.02,460.26,0.2696,1777.6,490.47,1.18
F5_E2_Wene_Tcol,5,2.0,energy_focused,cold_winter,milp_ml,4351,5122,45.93,501.39,0.1152,334.5,77.75,43.49
F5_E2_Wene_Tcol,5,2.0,energy_focused,cold_winter,milp_fixed,4351,5122,45.93,501.39,0.1152,334.5,77.75,42.95
F5_E2_Wene_Tcol,5,2.0,energy_focused,cold_winter,nearest,1707,7766,18.02,460.26,0.2696,1777.6,490.47,0.98
F5_E2_Wene_Tbas,5,2.0,energy_focused,baseline,milp_ml,4351,5122,45.93,501.39,0.1152,334.5,77.75,42.09
F5_E2_Wene_Tbas,5,2.0,energy_focused,baseline,milp_fixed,4351,5122,45.93,501.39,0.1152,334.5,77.75,43.78
F5_E2_Wene_Tbas,5,2.0,energy_focused,baseline,nearest,1707,7766,18.02,460.26,0.2696,1777.6,490.47,0.97
F5_E2_Wene_Thot,5,2.0,energy_focused,hot_summer,milp_ml,4351,5122,45.93,501.39,0.1152,334.5,77.75,44.74
F5_E2_Wene_Thot,5,2.0,energy_focused,hot_summer,milp_fixed,4351,5122,45.93,501.39,0.1152,334.5,77.75,45.92
F5_E2_Wene_Thot,5,2.0,energy_focused,hot_summer,nearest,1707,7766,18.02,460.26,0.2696,1777.6,490.47,1.05
F5_E2_Wser_Tcol,5,2.0,service_focused,cold_winter,milp_ml,4300,5173,45.39,501.29,0.1166,381.1,30.66,45.78
F5_E2_Wser_Tcol,5,2.0,service_focused,cold_winter,milp_fixed,4300,5173,45.39,501.29,0.1166,381.1,30.66,46.99
F5_E2_Wser_Tcol,5,2.0,service_focused,cold_winter,nearest,1707,7766,18.02,460.26,0.2696,1777.6,490.47,1.18
F5_E2_Wser_Tbas,5,2.0,service_focused,baseline,milp_ml,4300,5173,45.39,501.29,0.1166,381.1,30.66,46.93
F5_E2_Wser_Tbas,5,2.0,service_focused,baseline,milp_fixed,4300,5173,45.39,501.29,0.1166,381.1,30.66,45.68
F5_E2_Wser_Tbas,5,2.0,service_focused,baseline,nearest,1707,7766,18.02,460.26,0.2696,1777.6,490.47,1.01
F5_E2_Wser_Thot,5,2.0,service_focused,hot_summer,milp_ml,4300,5173,45.39,501.29,0.1166,381.1,30.66,43.8
F5_E2_Wser_Thot,5,2.0,service_focused,hot_summer,milp_fixed,4300,5173,45.39,501.29,0.1166,381.1,30.66,42.96
F5_E2_Wser_Thot,5,2.0,service_focused,hot_summer,nearest,1707,7766,18.02,460.26,0.2696,1777.6,490.47,1.0
F5_E5_Wbal_Tcol,5,5.0,balanced,cold_winter,milp_ml,3984,5489,42.06,446.39,0.112,382.0,24.09,35.17
F5_E5_Wbal_Tcol,5,5.0,balanced,cold_winter,milp_fixed,3984,5489,42.06,446.39,0.112,382.0,24.09,35.61
F5_E5_Wbal_Tcol,5,5.0,balanced,cold_winter,nearest,1600,7873,16.89,412.18,0.2576,1834.7,419.78,0.78
F5_E5_Wbal_Tbas,5,5.0,balanced,baseline,milp_ml,3984,5489,42.06,446.39,0.112,382.0,24.09,36.43
F5_E5_Wbal_Tbas,5,5.0,balanced,baseline,milp_fixed,3984,5489,42.06,446.39,0.112,382.0,24.09,35.2
F5_E5_Wbal_Tbas,5,5.0,balanced,baseline,nearest,1600,7873,16.89,412.18,0.2576,1834.7,419.78,0.78
F5_E5_Wbal_Thot,5,5.0,balanced,hot_summer,milp_ml,3984,5489,42.06,446.39,0.112,382.0,24.09,34.66
F5_E5_Wbal_Thot,5,5.0,balanced,hot_summer,milp_fixed,3984,5489,42.06,446.39,0.112,382.0,24.09,35.18
F5_E5_Wbal_Thot,5,5.0,balanced,hot_summer,nearest,1600,7873,16.89,412.18,0.2576,1834.7,419.78,0.78
F5_E5_Wene_Tcol,5,5.0,energy_focused,cold_winter,milp_ml,4009,5464,42.32,440.96,0.11,338.4,55.67,34.07
F5_E5_Wene_Tcol,5,5.0,energy_focused,cold_winter,milp_fixed,4009,5464,42.32,440.96,0.11,338.4,55.67,34.16
F5_E5_Wene_Tcol,5,5.0,energy_focused,cold_winter,nearest,1600,7873,16.89,412.18,0.2576,1834.7,419.78,0.77
F5_E5_Wene_Tbas,5,5.0,energy_focused,baseline,milp_ml,4009,5464,42.32,440.96,0.11,338.4,55.67,34.54
F5_E5_Wene_Tbas,5,5.0,energy_focused,baseline,milp_fixed,4009,5464,42.32,440.96,0.11,338.4,55.67,34.93
F5_E5_Wene_Tbas,5,5.0,energy_focused,baseline,nearest,1600,7873,16.89,412.18,0.2576,1834.7,419.78,0.77
F5_E5_Wene_Thot,5,5.0,energy_focused,hot_summer,milp_ml,4009,5464,42.32,440.96,0.11,338.4,55.67,34.76
F5_E5_Wene_Thot,5,5.0,energy_focused,hot_summer,milp_fixed,4009,5464,42.32,440.96,0.11,338.4,55.67,35.28
F5_E5_Wene_Thot,5,5.0,energy_focused,hot_summer,nearest,1600,7873,16.89,412.18,0.2576,1834.7,419.78,0.78
